t,original,good_recon,bad_recon
0.248,0.873682,0.844014,0.927737
0.249,0.93684,0.906108,0.960402
0.25,1,0.968963,0.992274
0.251,1.06217,1.0316,1.02323
0.252,1.12237,1.093,1.05314
0.253,1.17962,1.15218,1.08188
0.254,1.23299,1.20813,1.10934
0.255,1.28158,1.2599,1.13539
0.256,1.32456,1.30659,1.15991
0.257,1.36117,1.34732,1.18279
0.258,1.39075,1.38134,1.20393
0.259,1.41271,1.40796,1.2232
0.26,1.42658,1.42658,1.24051
0.261,1.43202,1.43675,1.25575
0.262,1.42879,1.43811,1.26884
0.263,1.41677,1.43042,1.27969
0.264,1.39597,1.41361,1.28822
0.265,1.36653,1.38771,1.29434
0.266,1.32872,1.35289,1.298
0.267,1.28291,1.30946,1.29913
0.268,1.22958,1.25787,1.29767
0.269,1.16935,1.19866,1.29359
0.27,1.10291,1.13251,1.28683
0.271,1.03103,1.06021,1.27738
0.272,0.954576,0.982608,1.26521
0.273,0.874456,0.900661,1.25031
0.274,0.791635,0.815378,1.23267
0.275,0.707107,0.727814,1.21229
0.276,0.62188,0.639057,1.1892
0.277,0.536967,0.550205,1.16341
0.278,0.453362,0.462354,1.13496
0.279,0.37203,0.376573,1.10388
0.28,0.293893,0.293893,1.07022
0.281,0.21981,0.215286,1.03405
0.282,0.15057,0.141653,0.995421
0.283,0.0868775,0.073803,0.954416
0.284,0.0293401,0.0124468,0.911115
0.285,-0.0215378,-0.0418195,0.865609
0.286,-0.0653643,-0.0885228,0.817995
0.287,-0.101865,-0.12732,0.76838
0.288,-0.130889,-0.158006,0.716876
0.289,-0.152406,-0.180512,0.663601
0.29,-0.166511,-0.194912,0.608681
0.291,-0.173422,-0.201419,0.552246
0.292,-0.173474,-0.200381,0.494433
0.293,-0.167113,-0.192273,0.435383
0.294,-0.154892,-0.177693,0.37524
0.295,-0.137458,-0.15735,0.314154
0.296,-0.115544,-0.132047,0.252277
0.297,-0.089954,-0.102677,0.189765
0.298,-0.0615544,-0.0701989,0.126776
0.299,-0.0312559,-0.0356239,0.0634671
0.3,6.73803e-15,8.18502e-15,-1.39898e-14
0.301,0.0312559,0.0356081,-0.0634649
0.302,0.0615544,0.0701363,-0.126767
0.303,0.089954,0.102539,-0.189746
0.304,0.115544,0.131809,-0.252243
0.305,0.137458,0.156991,-0.314101
0.306,0.154892,0.177201,-0.375165
0.307,0.167113,0.191641,-0.435283
0.308,0.173474,0.199609,-0.494306
0.309,0.173422,0.200518,-0.55209
0.31,0.166511,0.193898,-0.608493
0.311,0.152406,0.179409,-0.663381
0.312,0.130889,0.156847,-0.716624
0.313,0.101865,0.126144,-0.768096
0.314,0.0653643,0.0873724,-0.81768
0.315,0.0215378,0.0407418,-0.865264
0.316,-0.0293401,-0.0134028,-0.910743
0.317,-0.0868775,-0.0745878,-0.95402
0.318,-0.15057,-0.142218,-0.995005
0.319,-0.21981,-0.215589,-1.03362
0.32,-0.293893,-0.293893,-1.06978
0.321,-0.37203,-0.376238,-1.10343
0.322,-0.453362,-0.461661,-1.13451
0.323,-0.536967,-0.54914,-1.16297
0.324,-0.62188,-0.637617,-1.18877
0.325,-0.707107,-0.726009,-1.21188
0.326,-0.791635,-0.813229,-1.23228
0.327,-0.874456,-0.898202,-1.24995
0.328,-0.954576,-0.979884,-1.2649
0.329,-1.03103,-1.05728,-1.27711
0.33,-1.10291,-1.12944,-1.28662
0.331,-1.16935,-1.19552,-1.29343
0.332,-1.22958,-1.25474,-1.29758
0.333,-1.28291,-1.30644,-1.29911
0.334,-1.32872,-1.35006,-1.29805
0.335,-1.36653,-1.38516,-1.29447
0.336,-1.39597,-1.41143,-1.28843
0.337,-1.41677,-1.42869,-1.27999
0.338,-1.42879,-1.4369,-1.26923
0.339,-1.43202,-1.43612,-1.25622
0.34,-1.42658,-1.42658,-1.24106
0.341,-1.41271,-1.40862,-1.22384
0.342,-1.39075,-1.38269,-1.20465
0.343,-1.36117,-1.34935,-1.1836
0.344,-1.32456,-1.30927,-1.16079
0.345,-1.28158,-1.26321,-1.13634
0.346,-1.23299,-1.212,-1.11035
0.347,-1.17962,-1.15653,-1.08295
0.348,-1.12237,-1.09776,-1.05426
0.349,-1.06217,-1.03664,-1.02439
0.35,-1,-0.974185,-0.993463
0.351,-0.93684,-0.911375,-0.961611
0.352,-0.873682,-0.849192,-0.928954
0.353,-0.8115,-0.788585,-0.895616
0.354,-0.751238,-0.730457,-0.86172
0.355,-0.693796,-0.675655,-0.827389
0.356,-0.640014,-0.624952,-0.792744
0.357,-0.59066,-0.579041,-0.757903
0.358,-0.546419,-0.53852,-0.722984
0.359,-0.50788,-0.503886,-0.688101
0.36,-0.475528,-0.475528,-0.653365
0.361,-0.449737,-0.453722,-0.618882
0.362,-0.430763,-0.438626,-0.584757
0.363,-0.418741,-0.430279,-0.551088
0.364,-0.413683,-0.428605,-0.51797
0.365,-0.415478,-0.433408,-0.485492
0.366,-0.423893,-0.444384,-0.453739
0.367,-0.438578,-0.461121,-0.42279
0.368,-0.459071,-0.483107,-0.392718
0.369,-0.484807,-0.509741,-0.363589
0.37,-0.515124,-0.540342,-0.335465
0.371,-0.549278,-0.574159,-0.308401
0.372,-0.586451,-0.610384,-0.282445
0.373,-0.625766,-0.648164,-0.257639
0.374,-0.666302,-0.686618,-0.234017
0.375,-0.707107,-0.724845,-0.211608
0.376,-0.747214,-0.761944,-0.190434
0.377,-0.785657,-0.797022,-0.170509
0.378,-0.821486,-0.829215,-0.151843
0.379,-0.853784,-0.857692,-0.134436
0.38,-0.881678,-0.881678,-0.118283
0.381,-0.904357,-0.900456,-0.103373
0.382,-0.921083,-0.913385,-0.0896878
0.383,-0.931205,-0.919907,-0.0772037
0.384,-0.934167,-0.919553,-0.0658904
0.385,-0.929519,-0.911954,-0.055712
0.386,-0.916923,-0.896845,-0.0466268
0.387,-0.896161,-0.874069,-0.038588
0.388,-0.867138,-0.843578,-0.0315436
0.389,-0.829882,-0.805437,-0.0254366
0.39,-0.784545,-0.759818,-0.0202057
0.391,-0.731405,-0.707003,-0.0157851
0.392,-0.670854,-0.647378,-0.0121055
0.393,-0.6034,-0.581426,-0.00909372
0.394,-0.529655,-0.50972,-0.00667353
0.395,-0.450327,-0.432918,-0.00476587
0.396,-0.36621,-0.351751,-0.00328926
0.397,-0.278171,-0.267012,-0.00216014
0.398,-0.187135,-0.179547,-0.00129332
0.399,-0.0940774,-0.0902387,-0.000602367
0.4,2.51758e-14,2.35531e-14,-7.49214e-15
0.401,0.0940774,0.0902449,0.000601487
0.402,0.187135,0.179571,0.00128982
0.403,0.278171,0.267066,0.00215231
0.404,0.36621,0.351844,0.00327549
0.405,0.450327,0.433058,0.00474465
0.406,0.529655,0.509912,0.00664346
0.407,0.6034,0.581672,0.00905359
0.408,0.670854,0.647679,0.0120543
0.409,0.731405,0.707354,0.015722
0.41,0.784545,0.760213,0.02013
0.411,0.829882,0.805866,0.025348
0.412,0.867138,0.844029,0.031442
0.413,0.896161,0.874527,0.0384736
0.414,0.916923,0.897293,0.0464999
0.415,0.929519,0.912373,0.0555732
0.416,0.934167,0.919924,0.0657408
0.417,0.931205,0.920212,0.0770445
0.418,0.921083,0.913605,0.0895204
0.419,0.904357,0.900574,0.103199
0.42,0.881678,0.881678,0.118104
0.421,0.853784,0.857562,0.134255
0.422,0.821486,0.828945,0.151662
0.423,0.785657,0.796609,0.170331
0.424,0.747214,0.761384,0.19026
0.425,0.707107,0.724144,0.211442
0.426,0.666302,0.685783,0.233861
0.427,0.625766,0.647209,0.257496
0.428,0.586451,0.609326,0.282318
0.429,0.549278,0.573021,0.308293
0.43,0.515124,0.53915,0.335378
0.431,0.484807,0.508524,0.363525
0.432,0.459071,0.481896,0.39268
0.433,0.438578,0.45995,0.42278
0.434,0.423893,0.443288,0.45376
0.435,0.415478,0.432422,0.485544
0.436,0.413683,0.427761,0.518054
0.437,0.418741,0.429609,0.551206
0.438,0.430763,0.438157,0.58491
0.439,0.449737,0.453478,0.61907
0.44,0.475528,0.475528,0.653587
0.441,0.50788,0.504143,0.688358
0.442,0.546419,0.53904,0.723274
0.443,0.59066,0.579823,0.758225
0.444,0.640014,0.62599,0.793096
0.445,0.693796,0.676932,0.827769
0.446,0.751238,0.731952,0.862126
0.447,0.8115,0.790268,0.896045
0.448,0.873682,0.851029,0.929402
0.449,0.93684,0.913324,0.962075
0.45,1,0.9762,0.993939
0.451,1.06217,1.03868,1.02487
0.452,1.12237,1.09975,1.05474
0.453,1.17962,1.15844,1.08344
0.454,1.23299,1.21377,1.11083
0.455,1.28158,1.26478,1.13681
0.456,1.32456,1.3106,1.16124
0.457,1.36117,1.3504,1.18403
0.458,1.39075,1.38341,1.20505
0.459,1.41271,1.409,1.22421
0.46,1.42658,1.42658,1.2414
0.461,1.43202,1.43573,1.25652
0.462,1.42879,1.43611,1.26948
0.463,1.41677,1.42753,1.28019
0.464,1.39597,1.40989,1.28858
0.465,1.36653,1.38328,1.29457
0.466,1.32872,1.34787,1.29809
0.467,1.28291,1.304,1.29908
0.468,1.22958,1.25209,1.2975
0.469,1.16935,1.19272,1.29328
0.47,1.10291,1.12656,1.28641
0.471,1.03103,1.05439,1.27684
0.472,0.954576,0.97706,1.26456
0.473,0.874456,0.895516,1.24955
0.474,0.791635,0.810753,1.23182
0.475,0.707107,0.723813,1.21136
0.476,0.62188,0.635765,1.1882
0.477,0.536967,0.547689,1.16235
0.478,0.453362,0.460659,1.13384
0.479,0.37203,0.375724,1.10272
0.48,0.293893,0.293893,1.06903
0.481,0.21981,0.216118,1.03284
0.482,0.15057,0.143278,0.994206
0.483,0.0868775,0.0761651,0.953204
0.484,0.0293401,0.0154726,0.909917
0.485,-0.0215378,-0.0382185,0.864435
0.486,-0.0653643,-0.084447,0.816857
0.487,-0.101865,-0.12288,0.767286
0.488,-0.130889,-0.153317,0.715835
0.489,-0.152406,-0.175696,0.662621
0.49,-0.166511,-0.19009,0.60777
0.491,-0.173422,-0.196709,0.551411
0.492,-0.173474,-0.195896,0.493679
0.493,-0.167113,-0.188118,0.434714
0.494,-0.154892,-0.173963,0.374662
0.495,-0.137458,-0.154126,0.31367
0.496,-0.115544,-0.129398,0.251889
0.497,-0.089954,-0.100655,0.189475
0.498,-0.0615544,-0.0688379,0.126582
0.499,-0.0312559,-0.034943,0.0633712
0.5,1.00458e-14,9.73368e-15,-2.54526e-14
0.501,0.0312559,0.034943,-0.0633712
0.502,0.0615544,0.0688379,-0.126582
0.503,0.089954,0.100655,-0.189475
0.504,0.115544,0.129398,-0.251889
0.505,0.137458,0.154126,-0.31367
0.506,0.154892,0.173963,-0.374662
0.507,0.167113,0.188118,-0.434714
0.508,0.173474,0.195896,-0.493679
0.509,0.173422,0.196709,-0.551411
0.51,0.166511,0.19009,-0.60777
0.511,0.152406,0.175696,-0.662621
0.512,0.130889,0.153317,-0.715835
0.513,0.101865,0.12288,-0.767286
0.514,0.0653643,0.084447,-0.816857
0.515,0.0215378,0.0382185,-0.864435
0.516,-0.0293401,-0.0154726,-0.909917
0.517,-0.0868775,-0.0761651,-0.953204
0.518,-0.15057,-0.143278,-0.994206
0.519,-0.21981,-0.216118,-1.03284
0.52,-0.293893,-0.293893,-1.06903
0.521,-0.37203,-0.375724,-1.10272
0.522,-0.453362,-0.460659,-1.13384
0.523,-0.536967,-0.547689,-1.16235
0.524,-0.62188,-0.635765,-1.1882
0.525,-0.707107,-0.723813,-1.21136
0.526,-0.791635,-0.810753,-1.23182
0.527,-0.874456,-0.895516,-1.24955
0.528,-0.954576,-0.97706,-1.26456
0.529,-1.03103,-1.05439,-1.27684
0.53,-1.10291,-1.12656,-1.28641
0.531,-1.16935,-1.19272,-1.29328
0.532,-1.22958,-1.25209,-1.2975
0.533,-1.28291,-1.304,-1.29908
0.534,-1.32872,-1.34787,-1.29809
0.535,-1.36653,-1.38328,-1.29457
0.536,-1.39597,-1.40989,-1.28858
0.537,-1.41677,-1.42753,-1.28019
0.538,-1.42879,-1.43611,-1.26948
0.539,-1.43202,-1.43573,-1.25652
0.54,-1.42658,-1.42658,-1.2414
0.541,-1.41271,-1.409,-1.22421
0.542,-1.39075,-1.38341,-1.20505
0.543,-1.36117,-1.3504,-1.18403
0.544,-1.32456,-1.3106,-1.16124
0.545,-1.28158,-1.26478,-1.13681
0.546,-1.23299,-1.21377,-1.11083
0.547,-1.17962,-1.15844,-1.08344
0.548,-1.12237,-1.09975,-1.05474
0.549,-1.06217,-1.03868,-1.02487
0.55,-1,-0.9762,-0.993939
0.551,-0.93684,-0.913324,-0.962075
0.552,-0.873682,-0.851029,-0.929402
0.553,-0.8115,-0.790268,-0.896045
0.554,-0.751238,-0.731952,-0.862126
0.555,-0.693796,-0.676932,-0.827769
